Location,Pincode
A.G.college,500030
A.Gs office,500004
A.Gs. staff quarters,500045
Administrative Buildings,500007
Afzalgunj,500012
Aliabad,500015
Ambernagar,500044
Amberpet,500013
Anandnagar,500004
Anantagiri,501201
Anantaram,500015
Andhra Mahila sabha,500044
Ankireddipalli,501301
Ankushapur,501301
Annajiguda,501301
Aperl,500030
Aphb Colony moulali,500040
Ashoknagar,500020
Attapur,500048
Atvelli,500015
Badangpet,500058
Bahadurpura,500064
Balapur,500005
Banjara Hills,500034
Barkatpura,500027
Bazarghat,500004
Begumbazar,500012
Begumpet,500016
Begumpet Policelines,500003
Bharat Nagar colony,500018
Bholakpur,500080
Boduppal,500039
Bogaram,501301
Central Police lines,500013
Central Secretariat,500022
Chanchalguda,500024
Chandulalbaradari,500064
Cherial,501301
Cherlapalli,501301
Crp Camp,500005
Cyberabad,500081
Dabirpur,500015
Dargah Hussain shahwali,500008
Darushifa,500024
Dattatreya Colony,500028
Dhoolpet,500006
Dilsukhnagar Colony,500060
Dr As rao nagar,500062
Ecil,500062
Erragadda,500018
Falaknuma,500053
Fatehdarwaza,500065
Fathenagar Colony,500018
Gagan Mahal,500029
Gajularamaram,500015
Gandhi Bhawan,500001
Gandhinagar,500080
Ghatkesar,501301
Girmapur,500015
Golconda,500008
Golconda Chowrastha,500020
Gowdavalli,500015
Gsi(sr) Bandlaguda,500068
Hanumanpet,500062
Hasannagar,500052
High Court,500066
Himayathnagar,500029
Himmatnagar,500025
Hindi Bhawan,500001
Hindustan Cables ltd,500051
Huda Residential complex,500035
Humayunnagar,500028
Hussainialam,500064
Hyd Airport ii,500016
Hyd Airport i,500016
Hyder Shah kote,500008
Hyderabad Jubilee,500002
Hyderabad Public school,500013
Hyderabad.,500001
Hyderguda,500048
I.E.nacharam,500076
I.M.colony,500082
Iict,500007
Ibrahim Bagh lines,500031
Ie Moulali,500040
Jaggamguda,500015
Jama I osmania,500007
Jeedimetla,500015
Jillellaguda,500079
Jntu Kukat pally,500085
Jubilee Hills,500033
Kakatiya Nagar,500008
Kanchanbagh,500058
Karmanghat,500079
Karwan Sahu,500006
Katchvanisingaram,501301
Kattedan Ie,500077
Keesara,501301
Keesaragutta,501301
Keshogiri,500005
Khairatabad,500004
Khapra,500062
Kingsway,500003
Kishanbagh,500064
Kismathpur,500030
Kolthur,500015
Korremal,501301
Kulsumpura,500067
Kushaiguda,500015
Kutbullapur,500015
Kyasaram,500062
L B nagar,500074
Lic Division,500063
Lalgadi Malakpet,500015
Lallaguda,500017
Lallapet,500017
Lunger House,500008
Mg Road,500003
Madhapur,500081
Malakpet Colony,500036
Mallapur,500076
Mamidipalli,500005
Mangalhat,500006
Mansoorabad,500068
Moazzampura,500001
Moghalpura,500002
Moosapet,500018
Moulali,500040
Mudchintanapalli,500015
Murad Nagar,500028
Musheerabad Dso,500020
Musheerabad Ndso,500020
Nallakunta,500044
Nanakramguda,500008
Napier Lines,500062
Narayanguda,500029
Nehrunagar,500026
New Maruthi nagar,500060
New Mla quarters,500063
New Nallakunta,500044
Ngri,500007
Nimboliadda,500027
Nutankal,500015
Old Malakpet,500036
Old Mla quarters,500029
Osmania General hospital,500012
Osmannagar,500036
P & t colony,500060
Padmaraonagar,500025
Padmavathi Nagar,500004
Pahadishareef,500005
Parishram Bhawan,500004
Pedalaxmapur,500015
Peerzadiguda,500039
Picket,500003
Pragatinagar,500015
Prakashamnagar,500016
Pratapsingaram,501301
Putlibowli,500095
Quazipura,500065
R.C.imarat,500069
Rahmath Nagar,500045
Rail Nilayam,500071
Raj Bhawan,500041
Rajbolaram,500016
Rajendranagar,500030
Ramakrishanapuram,500035
Ramakrishna Mutt,500029
Ramkoti,500095
Rampallidiara,501301
Rangareddy Dt courts,500074
Ravalkol,500015
Reinbazar,500023
Rompalli,501301
Sahifa,500024
Saidabad,500059
Saidabad Colony,500059
Sainagar,500017
Sakkubai Nagar,500008
Sanath Nagar colony,500018
Sanathnagar I e,500018
Sanjeev Reddy nagar,500038
Santoshnagar Colony,500059
Saroornagar,500035
Secunderabad,500003
Seetharampet,500001
Seminary,500013
Shahalibanda,500065
Shantinagar,500028
Shivarampalli,500052
Shyam Nagar,500004
Sitaphalmandi,500061
Snehapuri Colony,500076
Somajiguda,500082
South Banjara hills,500033
Srinagar Colony,500073
Srinivasapuram,500013
Sripuram Colony,500036
State Bank of hyderabad,500001
State Bank of india,500095
Stn Kachiguda,500027
Sultanshahi,500065
Suraram,500015
Survey Of india,500039
Svpnpa,500052
Swarajyanagar,500018
Tadbun,500064
Tagarikanaka,500002
Tarnaka,500007
Thimmaipalli,501301
Thumkunta,500015
Toli Chowki,500008
Turkapalliyadaram,500080
Uppal,500039
Uppuguda,500053
Vaidehinagar,500070
Vaishalinagar,500079
Vanastalipuram,500070
Vengal Rao nagar,500038
Vidhan Sabha,500004
Vidyanagar,500044
Vijay Nagar colony,500057
Vikarabad,501101
Yadgarpalli,501301
Yakutpura,500023
Yousufguda,500045
Zamistanpur,500020
Zindatelismath,500013
